GEN_DB,SP_DB,COUNTRY,LAT,LONG,Make SDM,Philippine map
Acisoma,panorpoides,Malaysia,3.5199,113.6194,Yes,
Acisoma,panorpoides,Malaysia,3.64,101.3458,Yes,
Acisoma,panorpoides,Malaysia,3.71608,102.176,Yes,
Acisoma,panorpoides,Malaysia,3.862,103.363,Yes,
Acisoma,panorpoides,Malaysia,4.1982,114.043,Yes,
Acisoma,panorpoides,Malaysia,4.245,117.891,Yes,
Acisoma,panorpoides,Malaysia,4.2667,101.2333,Yes,
Acisoma,panorpoides,Malaysia,4.39755,102.4307,Yes,
Acisoma,panorpoides,Malaysia,4.566,102.58189,Yes,
Acisoma,panorpoides,Malaysia,4.6778,101.5583,Yes,
Acisoma,panorpoides,Malaysia,4.84575,102.72119,Yes,
Acisoma,panorpoides,Malaysia,4.85,100.733,Yes,
Acisoma,panorpoides,Malaysia,4.88388,103.37751,Yes,
Acisoma,panorpoides,Malaysia,4.8991,102.0747,Yes,
Acisoma,panorpoides,Malaysia,4.999,102.955,Yes,
Acisoma,panorpoides,Malaysia,5.1,100.45,Yes,
Acisoma,panorpoides,Malaysia,5.38367,100.24654,Yes,
Acisoma,panorpoides,Malaysia,5.40599,100.66628,Yes,
Acisoma,panorpoides,Malaysia,5.44808,100.72775,Yes,
Acisoma,panorpoides,Malaysia,5.4574,102.5183,Yes,
Acisoma,panorpoides,Malaysia,5.5992,101.8087,Yes,
Acisoma,panorpoides,Malaysia,5.7296,101.4494,Yes,
Acisoma,panorpoides,Malaysia,5.77042,102.37669,Yes,
Acisoma,panorpoides,Malaysia,5.9667,102.4167,Yes,
Acisoma,panorpoides,Malaysia,6.0833,102.2833,Yes,
Acisoma,panorpoides,Malaysia,6.29,99.743,Yes,
Acisoma,panorpoides,Malaysia,6.31252,99.85398,Yes,
Acisoma,panorpoides,Malaysia,6.319,99.737,Yes,
Acisoma,panorpoides,Malaysia,6.361152,99.79268,Yes,
Acisoma,panorpoides,Malaysia,6.36332,99.79171,Yes,
Acisoma,panorpoides,Malaysia,6.368,99.683,Yes,
Acisoma,panorpoides,Malaysia,6.37038,99.67143,Yes,
Acisoma,panorpoides,Malaysia,6.372,99.77572,Yes,
Acisoma,panorpoides,Malaysia,6.67414,100.1823,Yes,
Acisoma,panorpoides,Singapore,1.28639,103.79,Yes,
Acisoma,panorpoides,Singapore,1.2876,103.79257,Yes,
Acisoma,panorpoides,Singapore,1.31384,103.81591,Yes,
Acisoma,panorpoides,Singapore,1.31892,103.81722,Yes,
Acisoma,panorpoides,Singapore,1.35259,103.77077,Yes,
Acisoma,panorpoides,Singapore,1.35468,103.77638,Yes,
Acisoma,panorpoides,Singapore,1.35938,103.77787,Yes,
